"occurrence_no","name","diet","type","length_m","max_ma","min_ma","region","lng","lat","class","family"
464677,"Troodon","carnivorous","small theropod",2,83.5,70.6,"Alberta",-110.715843,49.074078,"Saurischia","Troodontidae"
464709,"Dromaeosaurus","carnivorous","small theropod",1.8,83.6,72.1,"Alberta",-110.70282,49.075844,"Saurischia","Dromaeosauridae"
464710,"Saurornitholestes","carnivorous","small theropod",1.5,83.6,72.1,"Alberta",-110.70282,49.075844,"Saurischia","Dromaeosauridae"
464711,"Richardoestesia","carnivorous","small theropod",1.5,83.6,72.1,"Alberta",-110.70282,49.075844,"Saurischia","Dromaeosauridae"
464712,"Paronychodon","carnivorous","large theropod",5,83.6,72.1,"Alberta",-110.70282,49.075844,"Saurischia","Troodontidae"
464756,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.732346,49.187008,"Saurischia","Dromaeosauridae"
464757,"Troodon","carnivorous","small theropod",2,83.5,70.6,"Alberta",-110.732346,49.187008,"Saurischia","Troodontidae"
464758,"Richardoestesia","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.732346,49.187008,"Saurischia","Dromaeosauridae"
464793,"Dromaeosaurus","carnivorous","small theropod",1.8,83.5,70.6,"Alberta",-110.73439,49.193851,"Saurischia","Dromaeosauridae"
464794,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.73439,49.193851,"Saurischia","Dromaeosauridae"
464795,"Troodon","carnivorous","small theropod",2,83.5,70.6,"Alberta",-110.73439,49.193851,"Saurischia","Troodontidae"
464796,"Richardoestesia","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.73439,49.193851,"Saurischia","Dromaeosauridae"
464827,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.659027,49.072575,"Saurischia","Dromaeosauridae"
464828,"Paronychodon","carnivorous","large theropod",5,83.5,70.6,"Alberta",-110.659027,49.072575,"Saurischia","Troodontidae"
464981,"Atlasaurus",null,null,null,168.3,166.1,"Azilal",-6.282146,32.041893,"Saurischia",null
464985,"Rebbachisaurus","herbivorous","sauropod",20,113,93.9,"Azilal",-6.235523,32.212112,"Saurischia","Rebbachisauridae"
465109,"Cetiosaurus","herbivorous","sauropod",18,167.7,164.7,"Boulemane",-4.419,33.426998,"Saurischia",null
465111,"Cetiosaurus","herbivorous","sauropod",18,167.7,164.7,"Boulemane",-4.465,33.450001,"Saurischia",null
465114,"Cetiosaurus","herbivorous","sauropod",18,167.7,164.7,"Boulemane",-4.43333,33.464001,"Saurischia",null
465115,"Cetiosaurus","herbivorous","sauropod",18,167.7,164.7,"Boulemane",-4.43333,33.466999,"Saurischia",null
465118,"Cetiosaurus","herbivorous","sauropod",18,167.7,164.7,"Boulemane",-4.454,33.474998,"Saurischia",null
465123,"Cetiosaurus","herbivorous","sauropod",18,167.7,164.7,"Boulemane",-4.326,33.479,"Saurischia",null
465132,"Diplodocus","herbivorous","sauropod",26,155.7,145,"Colorado",-108.397202,38.583099,"Saurischia","Diplodocidae"
465134,"Supersaurus","herbivorous","sauropod",35,155.7,145,"Colorado",-108.397202,38.583099,"Saurischia","Diplodocidae"
465143,"Torvosaurus","carnivorous","large theropod",10,155.7,145,"Colorado",-108.397202,38.583099,"Saurischia","Megalosauridae"
465496,"Genyodectes",null,null,null,125,113,"Chubut",-70.0093,-44.48333,"Saurischia",null
465497,"Comahuesaurus",null,null,null,125,100.5,"Neuquén",-70.088608,-39.581669,"Saurischia","Rebbachisauridae"
465640,"Ornithomimus","omnivorous","large theropod",4,72.1,66,"Alberta",-115.412003,54.9184,"Saurischia","Ornithomimidae"
466196,"Sarahsaurus",null,null,null,199.3,182.7,"Arizona",-111.289444,35.689445,"Saurischia",null
467017,"Ornithomimus","omnivorous","large theropod",4,83.5,70.6,"Alberta",-111.597153,50.806515,"Saurischia","Ornithomimidae"
467037,"Ornithomimus","omnivorous","large theropod",4,83.5,70.6,"Alberta",-112.865601,51.542702,"Saurischia","Ornithomimidae"
467158,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-107.383331,47.633331,"Saurischia","Dromaeosauridae"
467532,"Barosaurus","herbivorous","sauropod",24,157.3,152.1,"Wyoming",-107.779167,44.535557,"Saurischia","Diplodocidae"
467533,"Camarasaurus","herbivorous","sauropod",23,157.3,152.1,"Wyoming",-107.779167,44.535557,"Saurischia",null
467535,"Allosaurus","carnivorous","large theropod",12,157.3,152.1,"Wyoming",-107.779167,44.535557,"Saurischia","Allosauridae"
467541,"Diplodocus","herbivorous","sauropod",26,157.3,152.1,"Wyoming",-107.816666,44.650002,"Saurischia","Diplodocidae"
467542,"Brachiosaurus","herbivorous","sauropod",30,157.3,152.1,"Wyoming",-107.816666,44.650002,"Saurischia","Brachiosauridae"
467544,"Allosaurus","carnivorous","large theropod",12,157.3,152.1,"Wyoming",-107.816666,44.650002,"Saurischia","Allosauridae"
467548,"Apatosaurus","herbivorous","sauropod",21,157.3,152.1,"Wyoming",-107.816666,44.650002,"Saurischia","Diplodocidae"
467549,"Camarasaurus","herbivorous","sauropod",23,157.3,152.1,"Wyoming",-107.816666,44.650002,"Saurischia",null
467551,"Kaatedocus",null,null,null,157.3,152.1,"Wyoming",-107.779167,44.535557,"Saurischia","Diplodocidae"
467553,"Allosaurus","carnivorous","large theropod",12,157.3,152.1,"Wyoming",-107.779167,44.535557,"Saurischia","Allosauridae"
467555,"Allosaurus","carnivorous","large theropod",12,157.3,152.1,"Wyoming",-107.779167,44.535557,"Saurischia","Allosauridae"
467556,"Diplodocus","herbivorous","sauropod",26,157.3,152.1,"Wyoming",-107.779167,44.535557,"Saurischia","Diplodocidae"
468455,"Condorraptor",null,null,null,166.1,163.5,"Chubut",-69.19297,-43.419846,"Saurischia","Piatnitzkysauridae"
468457,"Patagosaurus","herbivorous","sauropod",18,166.1,163.5,"Chubut",-69.19297,-43.419846,"Saurischia",null
468621,"Deinonychus","carnivorous","small theropod",3,122.46,109,"Oklahoma",-96.099998,34.400002,"Saurischia","Dromaeosauridae"
468623,"Acrocanthosaurus","carnivorous","large theropod",12,122.46,109,"Oklahoma",-96.099998,34.400002,"Saurischia","Carcharodontosauridae"
468942,"Troodon","carnivorous","small theropod",2,83.5,70.6,"Montana",-109.589699,47.808201,"Saurischia","Troodontidae"
468943,"Paronychodon","carnivorous","large theropod",5,83.5,70.6,"Montana",-109.589699,47.808201,"Saurischia","Troodontidae"
471740,"Neovenator","carnivorous","large theropod",7.4,129.4,125,"England",-1.41035,50.635109,"Saurischia","Neovenatoridae"
471767,"Monolophosaurus","carnivorous","large theropod",5.7,166.1,163.5,"Xinjiang",90.064598,44.837215,"Saurischia",null
471799,"Alxasaurus",null,null,null,125,113,"Nei Mongol",106.083336,41.166668,"Saurischia",null
472008,"Jingshanosaurus","herbivorous","sauropod",5,201.3,199.3,"Yunnan",102.083,25.132999,"Saurischia",null
472313,"Sinornithoides",null,null,null,139.8,100.5,"Nei Mongol",108.410004,39.360001,"Saurischia","Troodontidae"
472458,"Troodon","carnivorous","small theropod",2,83.5,70.6,"Alberta",-111.505226,50.746635,"Saurischia","Troodontidae"
472459,"Leptorhynchos",null,null,null,83.5,70.6,"Alberta",-111.513893,50.734207,"Saurischia","Caenagnathidae"
